0.13,0.66
0.14,0.93
0.17,0.93
0.2,0.95
0.23,0.93
0.26,0.95
0.28,0.95
0.31,0.95
0.34,0.96
0.37,0.95
0.39,0.95
0.43,0.96
0.46,0.95
0.48,0.95
0.51,0.95
0.54,0.96
0.57,0.98
0.6,0.98
0.62,0.96
0.65,0.96
0.68,0.96
0.71,0.99
0.73,1.01
0.76,1.01
0.79,1.02
0.82,0.93
0.85,1.04
0.88,1.05
0.9,1.08
0.93,1.1
0.96,1.14
0.99,1.19
1.02,1.25
1.04,1.31
1.07,1.35
1.1,1.43
1.13,1.5
1.16,1.58
1.18,1.65
1.21,1.76
1.24,1.83
1.27,1.92
1.3,1.98
1.32,2.07
1.35,2.16
1.38,2.24
1.41,2.33
1.44,2.42
1.47,2.49
1.49,2.6
1.52,2.67
1.55,2.75
1.58,2.82
1.61,2.67
1.63,2.99
1.66,3.11
1.69,3.18
1.72,3.29
1.75,3.36
1.77,3.41
1.8,3.47
1.83,3.48
1.86,3.38
1.88,3.26
1.91,3.09
1.94,2.91
1.97,2.73
2,2.55
2.02,2.39
2.05,2.18
2.08,1.97
2.11,1.83
2.14,1.71
2.16,1.61
2.19,1.52
2.22,1.53
2.25,1.68
2.28,1.98
2.3,2.28
2.33,2.67
2.36,2.96
2.39,3.23
2.41,3.48
2.44,3.68
2.47,3.93
2.5,4.14
2.53,4.35
2.55,4.56
2.59,4.74
2.61,4.94
2.64,5.12
2.67,5.27
2.7,5.49
2.73,5.7
2.75,5.96
2.78,6.12
2.81,6.42
2.84,6.63
2.87,6.8
2.89,6.99
2.92,7.16
2.95,7.35
2.98,7.5
3,7.65
3.03,7.65
3.06,7.94
3.09,8.07
3.11,8.19
3.14,8.31
3.17,8.4
3.2,8.52
3.23,8.61
3.25,8.72
3.28,8.81
3.31,8.91
3.34,8.99
3.37,9.09
3.39,9.12
3.42,9.21
3.45,9.3
3.48,9.38
3.51,9.47
3.53,9.5
3.56,9.53
3.59,9.32
3.61,9
3.64,8.69
3.67,8.39
3.7,8.1
3.72,7.8
3.75,7.44
3.78,7.2
3.81,6.87
3.84,6.57
3.87,6.32
3.89,6.12
3.92,6.06
3.95,6.17
3.98,6.39
4,6.59
4.03,6.75
4.06,6.84
4.09,6.92
4.11,7.02
4.14,7.2
4.17,7.41
4.2,7.61
4.22,7.79
4.25,7.95
4.28,8.13
4.31,8.33
4.34,8.52
4.36,8.7
4.39,9
4.42,9.23
4.45,9.51
4.47,9.75
4.5,10.07
4.52,10.37
4.57,10.65
4.59,10.91
4.61,11.25
4.64,11.49
4.67,11.79
4.7,12.08
4.72,12.35
4.75,12.45
4.78,12.45
4.8,12.45
4.83,12.45
4.86,12.45
4.89,12.45
4.92,12.45
4.95,12.47
4.97,12.45
5,12.47
5.03,12.45
5.06,12.45
5.08,12.45
5.11,12.45
5.14,12.45
5.17,12.47
5.19,12.47
5.22,12.47
5.25,12.45
5.28,12.47
5.31,12.45
5.33,12.47
5.36,12.45
5.39,12.45
5.41,12.47
5.45,12.47
5.47,12.45
5.5,12.45
5.52,12.45
5.55,12.45
5.58,12.45
5.61,12.45
5.63,12.45
5.66,12.45
5.69,12.45
5.72,12.45
5.74,12.47
5.77,12.45
5.8,12.45
5.83,12.45
5.85,12.45
5.88,12.45
5.91,12.45
5.93,12.45
5.96,12.45
5.99,12.45
6.02,12.45
6.05,12.47
6.08,12.45
6.1,12.47
6.13,12.45
6.16,12.45
6.18,12.45
6.21,12.47
6.24,12.45
6.27,12.45
6.29,12.47
6.32,12.45
6.35,12.45
6.38,12.45
6.41,12.45
6.43,12.45
6.46,12.47
6.49,12.45
6.51,12.45
6.54,12.45
6.57,12.45
6.6,12.45
6.62,12.45
6.65,12.45
6.67,12.45
6.71,12.47
6.73,12.45
6.76,12.45
6.79,12.45
6.82,12.47
6.84,12.45
6.87,12.45
6.9,12.47
6.92,12.45
6.95,12.45
6.98,12.47
7.01,12.45
7.03,12.45
7.06,12.45
7.09,12.45
7.12,12.45
7.14,12.45
7.17,12.45
7.2,12.45
7.22,12.45
7.25,12.47
7.28,12.45
7.3,12.45
7.34,12.45
7.36,12.45
7.39,12.45
7.41,12.45
7.44,12.45
7.47,12.45
7.5,12.45
7.52,12.45
7.56,12.45
7.58,12.45
7.61,12.45
7.63,12.45
7.66,12.45
7.69,12.47
7.72,12.45
7.75,12.45
7.77,12.47
7.79,12.45
7.83,12.45
7.85,12.45
7.88,12.45
7.91,12.45
7.92,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.92,12.45
7.91,12.45
7.91,12.45
7.91,12.45
7.92,12.45
7.92,12.45
7.91,12.45
7.91,12.45
