19.7,12,12,12,18
20.7,9,13,20,16
21.7,16,14,20,24
22.6,17,21,20,39
23.6,9,24,25,22
24.6,19,32,43,33
25.6,32,63,58,37
26.6,54,70,95,60
27.6,62,94,113,96
28.5,67,111,123,121
29.5,72,114,136,155
30.5,69,113,134,140
31.5,80,127,168,171
32.5,100,142,156,197
33.4,100,155,181,193
34.4,104,132,190,184
35.4,110,160,211,209
36.4,96,160,206,219
37.4,110,152,190,229
38.4,125,154,196,211
39.3,129,168,221,241
40.3,112,174,212,214
41.3,114,165,200,264
42.3,120,164,241,266
43.3,97,168,216,236
44.3,122,182,223,271
45.2,116,167,193,224
46.2,110,156,229,232
47.2,127,160,218,234
48.2,119,164,220,281
49.2,123,183,217,228
50.1,138,188,220,275
51.1,119,203,220,255
52.1,132,209,254,290
53.1,177,249,304,358
54.1,207,323,386,386
55,250,352,440,468
56,208,305,406,404
57,157,221,291,365
58,200,277,341,385
59,225,333,437,432
59.9,250,368,453,533
60.9,302,435,539,572
61.9,365,573,698,790
62.9,536,757,859,981
63.8,335,481,593,644
64.8,89,170,185,206
65.8,99,114,146,197
66.8,78,111,175,175
67.8,74,133,139,153
68.7,71,104,127,165
69.7,64,119,133,180
70.7,72,117,142,184
71.7,65,90,131,157
72.6,64,108,141,134
73.6,54,103,123,136
74.6,69,84,93,121
75.6,54,87,107,130
76.5,53,94,97,126
77.5,57,100,89,120
78.5,56,62,106,123
79.5,55,84,89,111
80.4,50,81,100,100
81.4,52,61,93,105
82.4,42,72,99,97
83.4,43,69,92,107
84.3,36,59,97,81
85.3,40,59,87,80
86.3,40,50,89,97
87.3,28,48,84,88
88.2,47,60,77,76
89.2,36,71,65,67
90.2,43,56,64,79
91.1,35,53,84,82
92.1,40,53,54,71
93.1,28,48,71,81
94.1,41,49,57,70
95,31,55,66,76
96,33,48,65,75
97,26,51,69,66
97.9,34,43,69,81
98.9,23,51,48,68
99.9,34,41,84,68
100.8,25,44,57,52
101.8,32,35,64,49
102.8,32,33,49,65
103.7,22,42,56,63
104.7,24,37,53,56
105.7,25,40,49,55
106.6,29,49,50,46
107.6,21,36,45,53
108.6,18,42,57,52
109.5,25,26,45,66
110.5,28,30,63,54
111.5,23,28,48,51
112.4,31,33,53,65
113.4,34,33,59,50
114.4,33,42,55,71
115.3,29,36,51,72
116.3,36,40,74,57
117.3,31,53,86,72
118.2,41,64,69,91
119.2,40,54,80,99
120.1,20,36,60,51
121.1,23,36,53,49
122.1,29,43,38,50
